"Slug","Designer","Website","Logo","Logo:alt"
"gabriele","Gabriele Golzar","/","https://framerusercontent.com/images/lhvxyj3GWvCMet0cjABY41NtKIE.jpg",""
"ilka","Ilka Bruse","https://www.ilkabruse.de/","https://framerusercontent.com/images/hkj32MrEz41bg4ntw8X5pCClBAw.png",""
"dorothea","Dorothea Brill","http://www.dorothea-brill.de/","https://framerusercontent.com/images/YlXKNcNNUryYcinL67x8HJ8rA6A.png",""
"carl","Carl Dau","https://dau-berlin.com/","https://framerusercontent.com/images/zGWcxSJNoorcJoYuN3dNQRgwHU.png",""
"ute","Ute Dippl","https://utedippel.de/","https://framerusercontent.com/images/byYqTTIIKo8QOiuw3YYVvpylwTk.png",""
"andrea","Andrea Frahm","https://www.andreafrahm.de/","https://framerusercontent.com/images/jR5FSYfDibM63KT906UqJWr814.webp",""
"gellner","Gellner","https://www.gellner.com/","https://framerusercontent.com/images/aOyC83iDJb7yqS2BaXF8UUPKMXg.png",""
"henrich","Henrich&Denzel","https://www.henrich-denzel.com/","https://framerusercontent.com/images/Pk8W421oqDM4CKcwJb7VnXLssDc.svg",""
"angela","Angela Hübel","https://www.angelahuebel.de/","https://framerusercontent.com/images/MYNuNBoy49UkjhP4xSLUeNMAU.png",""
"claudia","Claudia Hoppe","http://www.claudia-hoppe.de/","https://framerusercontent.com/images/IkF2X9c4E1vtZEwLxN16RNqDQE.svg",""
"jörg","Jörg Heinz","https://joergheinz.de/","https://framerusercontent.com/images/97UDOVWxsjHvuI8jRgyNr9XTn24.png",""
"jiro","Jiro Kamata","https://jirokamata.com/","https://framerusercontent.com/images/KMAeVt4DPwmfi6ooWCZ2uexWJBk.jpg",""
"patrick","Patrick Malotky","https://patrickmalotki.de/","https://framerusercontent.com/images/DdLVnnvrFFgs0jTRo3doTK4sWVo.png",""
"manu","MANU","https://www.manuschmuck.de/","https://framerusercontent.com/images/4VmxYz2GbjzDquxZPImSWjHNmu8.png",""
"maier","Maier&Beck","https://www.maierundbeck.de/","https://framerusercontent.com/images/MdogSUzYG1LYUrLQYHtqofUY0.jpg",""
"niessing","NIESSING","https://niessing.com/de-AT/SCHMUCK/","https://framerusercontent.com/images/pOU9olGyV33ZZXgqwE6pLE6ygg.png",""
"kazuko","Kazuko Nishibayashi","https://kaz-ni.de/","https://framerusercontent.com/images/WfqhIpY7Ki5nwzADDkvoHQ0yg.png",""
"perlen","Perlen Perlenketten","","",""
"quinn","Quinn","https://www.quinn.de/","https://framerusercontent.com/images/MwW1kaAj9jybVR4TznGZKPUrA.png",""
"franziska","Franziska Rappold","https://www.franziska-rappold.de/","https://framerusercontent.com/images/yfhoNiUmpYbQehVGnZrN4hlr0.png",""
"monika","Monika Seitter","https://www.monika-seitter.de/","https://framerusercontent.com/images/LPe4t99W3VGCk9K6oLiBoERdQ5k.svg",""
"violetta","Violetta Seliger","https://violettaelisaseliger.de/","https://framerusercontent.com/images/bcK4968xxZZtVIIAGL2NYifdOs4.png",""
"oliver","Oliver Schmidt","https://ol-schmidt.de/","https://framerusercontent.com/images/26Zm1rEIx31saKFGz1lWuzlrw.svg",""
"barbara","Barbara Jewellery","https://www.barbara-jewellery.com/portfolio/sternenstaub/","https://framerusercontent.com/images/HtgvsUJkRZNvalelfoXMfBdU2Is.png",""
"eva","Eva Strepp","https://evastrepp.de/de/armschmuck/","https://framerusercontent.com/images/oHokDjIq4iuQqE8LNljXA8siPpE.png",""
"joko","Joko Takirai","https://www.yokotakirai.com/en/jewellery-next-level-isabella-hund-gallery-in-munich/","https://framerusercontent.com/images/G4uIjTjsRcw9hxqZY43nlTyJRhI.jpg",""
"takto","Takto","http://www.takto.es/","https://framerusercontent.com/images/jwt94qMx2r2fjwDHmbBcF7vYxQ0.png",""
"tezer","TEZER","https://www.tezer-design.de/","https://framerusercontent.com/images/8w2moj4bnuFIftrCRxEFpP7Cc.png",""
"güzin","Güzin","https://www.un-wearable-design.com/necklaces","https://framerusercontent.com/images/YVXLA3ObbSPEi5k3Dbcdxubi9s.png",""
"tanja","Tanja Zessel","https://tanjazessel.de/","https://framerusercontent.com/images/ovnSQH8ZJeafyqbRkZDffUtVKI.png",""
"qlocktwo","Qlocktwo","https://www.qlocktwo.com/","https://framerusercontent.com/images/qeGLJNBLPKpNK7DR5VuKmkGvONY.jpg",""
